Amazon_Product_Name,Flipkart_Product_Name,Amazon_Color,Flipkart_Color,Product_Name_Similarity,Brand_Similarity,Color_Similarity
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 20 L Convection Microwave Oven  (M/O KJ20CBG101, Black)",Black,Black,1,1,1
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 20 L Solo Microwave Oven  (KM20SSLN, BLACK)",Black,Black,0.77,1,1
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 25 L Convection Microwave Oven  (KJ25CSL101, Black)",Black,Black,0.71,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",Black,Black,0.77,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Solo Microwave Oven  (MS2043BP, Black)",Black,"Purple, Black",0.71,1,0.71
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Grill Microwave Oven  (MH2044BP, Black)",Black,Black,1,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",Black,"Maroon, Black",0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",Black,Black,0.77,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 21 L Convection Microwave Oven  (MC2146BG, BLACK)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L Charcoal Convection Microwave Oven  (MJ3286BRUS, Black)",Black,"Black, Grey",0.57,1,0.71
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 21 L Convection Microwave Oven  (MC2146BV, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Grill Microwave Oven  (MH2044DB, Black)",Black,Black,0.93,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L Convection Microwave Oven  (MC3286BLT, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 42 L Inverter Solo Microwave Oven  (MS4295DIS, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L With Twister Smog Handle Convection Microwave Oven  (MJEN326TL, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",Black,"Purple, Black",0.57,1,0.71
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 21 L Convection Microwave Oven  (MC2146BL, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L Convection Microwave Oven  (MJEN326PK, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L Convection Microwave Oven  (MJEN326UH, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L With Twister Smog Handle Convection Microwave Oven  (MJEN326SF, Black)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 32 L Convection Microwave Oven  (MJEN326UL, BLACK)",Black,Black,0.57,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 21 L Convection Microwave Oven  (MC2146BP, Black)",Black,Black,0.62,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 21 L Diet Fry Convection Microwave Oven  (MC2146BRT, Black)",Black,Black,0.53,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 21 L Convection Microwave Oven  (MC2146BR, Black)",Black,Black,0.62,1,1
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",Black,Black,0.68,1,1
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043BP, Black)",Black,"Purple, Black",0.73,1,0.71
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Grill Microwave Oven  (MH2044BP, Black)",Black,Black,0.52,1,1
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Solo Microwave Oven  (MS2043DB.DB1QILN, Black)",Black,Black,0.68,1,1
"LG 20 L Solo Microwave Oven (MS2043BP, Black, With Health Plus Menu & Steam Clean)","LG 20 L Grill Microwave Oven  (MH2044DB, Black)",Black,Black,0.57,1,1
